Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
Fantasia 2000,1999,75,USA,English,1999/12/17,90900000,Fantasy,7.2
The Tigger Movie,2000,78,USA,English,2000/2/11,96200000,Comedy,6.4
Whispers: An Elephant's Tale,2000,72,USA,English,2000/3/10,5.00E+05,Family,5.1
Dinosaur,2000,82,USA,English,2000/5/19,349800000,Drama,6.5
Disney's The Kid,2000,104,USA,English,2000/7/7,110300000,Fantasy,7.5
Remember the Titans,2000,113,USA,English,2000/9/29,136800000,Drama,7.8
102 Dalmatians,2000,100,USA,English,2000/11/22,183600000,Comedy,4.9
The Emperor's New Groove,2000,78,USA,English,2000/12/8,169600000,Comedy,7.4
Recess: School's Out,2001,83,USA,English,2001/2/10,44500000,Comedy,6.6
Atlantis: The Lost Empire,2001,96,USA,English,2001/6/3,186100000,Action,6.9
The Princess Diaries,2001,115,USA,English,2001/7/29,165300000,Comedy,6.4
Max Keeble's Big Move,2001,86,USA,English,2001/10/5,18600000,Comedy,5.4
"Monsters, Inc.",2001,92,USA,English,2001/10/28,577400000,Comedy,8.1
Snow Dogs,2002,99,USA,English,2002/1/18,115000000,Comedy,5.2
Return to Never Land,2002,73,USA,English,2002/2/10,115100000,Family,5.8
The Rookie,2002,128,USA,English,2002/3/29,80700000,Drama,6.9
Lilo & Stitch,2002,85,USA,English,2002/6/14,273100000,Comedy,7.3
The Country Bears,2002,88,USA,English,2002/7/21,18000000,Musical,4.2
Tuck Everlasting,2002,96,USA,English,2002/10/11,19300000,Drama,6.6
The Santa Clause 2,2002,104,USA,English,2002/11/1,172900000,Comedy,5.7
